[16/06/2022 21:28:59] Player: Trinitty | Reward: 1x removedor de frags
[23/08/2022 18:56:44] Player: Morgahar | Reward: 1x [+1000%] EXP Potion
[23/08/2022 18:56:57] Player: Morgahar | Reward: 1x removedor de frags
[23/08/2022 18:57:06] Player: Morgahar | Reward: 1x stamina infinita
[23/08/2022 18:57:20] Player: Morgahar | Reward: 15x critical feather
[23/08/2022 19:32:15] Player: Pies Na Baby | Reward: 1x hyper key
[23/08/2022 19:32:43] Player: Pies Na Baby | Reward: 1x stamina potion
[23/08/2022 19:32:57] Player: Pies Na Baby | Reward: 15x dodge stone
[23/08/2022 19:33:40] Player: Pies Na Baby | Reward: 5x [+500%] EXP Food
[23/08/2022 19:52:51] Player: Real Stylexx | Reward: 1x refinamento excelente
[23/08/2022 21:05:41] Player: Bill | Reward: 1x refinamento excelente
[23/08/2022 21:50:34] Player: Tchaap | Reward: 1x [+300%] EXP Food
[23/08/2022 22:06:22] Player: Sidoka | Reward: 1x [+1000%] EXP Potion
[23/08/2022 22:06:33] Player: Sidoka | Reward: 5x [+500%] EXP Food
[24/08/2022 00:50:39] Player: Pintudinho | Reward: 15x critical feather
[24/08/2022 00:50:50] Player: Pintudinho | Reward: 5x [+600%] EXP Egg
[24/08/2022 00:51:01] Player: Pintudinho | Reward: 15x critical feather
[24/08/2022 00:51:24] Player: Pintudinho | Reward: 1x stamina potion
[24/08/2022 00:51:35] Player: Pintudinho | Reward: 1x stamina potion
[24/08/2022 00:51:46] Player: Pintudinho | Reward: 5x [+500%] EXP Food
[24/08/2022 00:52:09] Player: Pintudinho | Reward: 1x refinamento excelente
[24/08/2022 00:52:21] Player: Pintudinho | Reward: 1x stamina potion
[24/08/2022 00:52:31] Player: Pintudinho | Reward: 5x [+600%] EXP Egg
[24/08/2022 00:52:41] Player: Pintudinho | Reward: 1x [+1000%] EXP Potion
[24/08/2022 00:53:12] Player: Pintudinho | Reward: 15x critical feather
[24/08/2022 00:53:22] Player: Pintudinho | Reward: 5x [+600%] EXP Egg
[24/08/2022 00:53:32] Player: Pintudinho | Reward: 1x stamina potion
[24/08/2022 00:53:42] Player: Pintudinho | Reward: 1x hyper staff
[24/08/2022 00:54:36] Player: Pintudinho | Reward: 5x [+500%] EXP Food
[24/08/2022 00:54:48] Player: Pintudinho | Reward: 5x [+300%] EXP Food
[24/08/2022 00:54:58] Player: Pintudinho | Reward: 1x hyper staff
[24/08/2022 00:55:34] Player: Pintudinho | Reward: 1x removedor de frags
[24/08/2022 00:55:45] Player: Pintudinho | Reward: 15x dodge stone
[24/08/2022 00:56:01] Player: Pintudinho | Reward: 1x stamina potion
[24/08/2022 00:56:12] Player: Pintudinho | Reward: 15x critical feather
[24/08/2022 00:56:24] Player: Pintudinho | Reward: 5x [+300%] EXP Food
[24/08/2022 00:56:38] Player: Pintudinho | Reward: 1x removedor de frags
[24/08/2022 00:57:00] Player: Pintudinho | Reward: 1x caixa da sorte
[24/08/2022 00:57:11] Player: Pintudinho | Reward: 1x [+1000%] EXP Potion
[24/08/2022 00:57:22] Player: Pintudinho | Reward: 15x dodge stone
[24/08/2022 00:57:32] Player: Pintudinho | Reward: 1x stamina potion
[24/08/2022 00:57:43] Player: Pintudinho | Reward: 1x [+1000%] EXP Potion
[24/08/2022 00:58:13] Player: Pintudinho | Reward: 1x refinamento excelente
[24/08/2022 00:58:24] Player: Pintudinho | Reward: 15x dodge stone
[24/08/2022 00:58:36] Player: Pintudinho | Reward: 1x refinamento excelente
[24/08/2022 00:58:48] Player: Pintudinho | Reward: 5x [+600%] EXP Egg
[24/08/2022 00:58:59] Player: Pintudinho | Reward: 1x removedor de frags
[24/08/2022 00:59:09] Player: Pintudinho | Reward: 1x hyper crossbow
[24/08/2022 08:14:04] Player: Master Yi | Reward: 1x refinamento excelente
[24/08/2022 08:15:54] Player: Meto Apicarreta | Reward: 1x removedor de frags
[24/08/2022 13:01:37] Player: Pies Na Baby | Reward: 5x [+500%] EXP Food
[24/08/2022 15:32:51] Player: Morpheus | Reward: 1x removedor de frags
[24/08/2022 15:40:46] Player: Anonymous | Reward: 5x [+600%] EXP Egg
[24/08/2022 15:40:58] Player: Anonymous | Reward: 15x dodge stone
[24/08/2022 18:12:30] Player: Dragi | Reward: 5x [+500%] EXP Food
[24/08/2022 18:55:44] Player: Pintudinho | Reward: 15x critical feather
[24/08/2022 18:55:59] Player: Pintudinho | Reward: 1x stamina potion
[24/08/2022 18:56:10] Player: Pintudinho | Reward: 15x critical feather
[24/08/2022 18:56:21] Player: Pintudinho | Reward: 1x [+1000%] EXP Potion
[24/08/2022 18:56:38] Player: Pintudinho | Reward: 1x caixa da sorte
[24/08/2022 18:57:23] Player: Pintudinho | Reward: 15x dodge stone
[24/08/2022 18:57:34] Player: Pintudinho | Reward: 1x stamina potion
[24/08/2022 18:58:22] Player: Pintudinho | Reward: 1x removedor de frags
[24/08/2022 18:58:33] Player: Pintudinho | Reward: 5x [+300%] EXP Food
[24/08/2022 19:03:13] Player: Pintudinho | Reward: 15x critical feather
[24/08/2022 19:03:22] Player: Pintudinho | Reward: 1x removedor de frags
[24/08/2022 19:03:32] Player: Pintudinho | Reward: 5x [+300%] EXP Food
[24/08/2022 19:03:58] Player: Pintudinho | Reward: 1x [+1000%] EXP Potion
[24/08/2022 19:04:08] Player: Pintudinho | Reward: 5x [+300%] EXP Food
[24/08/2022 19:04:45] Player: Pintudinho | Reward: 15x dodge stone
[24/08/2022 19:06:59] Player: Pintudinho | Reward: 15x critical feather
[24/08/2022 19:07:11] Player: Pintudinho | Reward: 15x dodge stone
[24/08/2022 19:07:21] Player: Pintudinho | Reward: 1x removedor de frags
[24/08/2022 19:08:16] Player: Pintudinho | Reward: 1x removedor de frags
[24/08/2022 19:08:26] Player: Pintudinho | Reward: 5x [+500%] EXP Food
[24/08/2022 19:08:36] Player: Pintudinho | Reward: 1x hyper key
[24/08/2022 19:08:46] Player: Pintudinho | Reward: 1x removedor de frags
[24/08/2022 19:09:05] Player: Pintudinho | Reward: 1x [+1000%] EXP Potion
[24/08/2022 19:09:17] Player: Pintudinho | Reward: 5x [+500%] EXP Food
[24/08/2022 19:09:27] Player: Pintudinho | Reward: 1x removedor de frags
[24/08/2022 19:09:38] Player: Pintudinho | Reward: 1x removedor de frags
[24/08/2022 19:09:47] Player: Pintudinho | Reward: 1x stamina potion
[24/08/2022 19:10:00] Player: Pintudinho | Reward: 1x removedor de frags
[24/08/2022 19:16:33] Player: Pintudinho | Reward: 1x caixa da sorte
[24/08/2022 19:16:44] Player: Pintudinho | Reward: 1x stamina infinita
[24/08/2022 19:17:04] Player: Pintudinho | Reward: 15x critical feather
[24/08/2022 19:18:03] Player: Pintudinho | Reward: 1x stamina potion
[24/08/2022 19:18:13] Player: Pintudinho | Reward: 1x hyper crossbow
[24/08/2022 19:18:27] Player: Pintudinho | Reward: 1x refinamento excelente
[24/08/2022 19:18:37] Player: Pintudinho | Reward: 5x [+500%] EXP Food
[24/08/2022 19:18:47] Player: Pintudinho | Reward: 15x dodge stone
[24/08/2022 19:19:03] Player: Pintudinho | Reward: 1x removedor de frags
[24/08/2022 19:19:13] Player: Pintudinho | Reward: 5x [+500%] EXP Food
[24/08/2022 19:19:22] Player: Pintudinho | Reward: 5x [+500%] EXP Food
[24/08/2022 19:19:33] Player: Pintudinho | Reward: 1x removedor de frags
[24/08/2022 19:19:42] Player: Pintudinho | Reward: 15x critical feather
[24/08/2022 19:19:53] Player: Pintudinho | Reward: 15x dodge stone
[24/08/2022 19:20:18] Player: Pintudinho | Reward: 1x refinamento excelente
[24/08/2022 19:20:29] Player: Pintudinho | Reward: 5x [+500%] EXP Food
[24/08/2022 19:20:39] Player: Pintudinho | Reward: 1x removedor de frags
[24/08/2022 19:21:03] Player: Pintudinho | Reward: 5x [+600%] EXP Egg
[24/08/2022 19:21:13] Player: Pintudinho | Reward: 15x dodge stone
[24/08/2022 19:21:24] Player: Pintudinho | Reward: 1x refinamento excelente
[24/08/2022 19:21:58] Player: Pintudinho | Reward: 15x dodge stone
[24/08/2022 19:22:08] Player: Pintudinho | Reward: 5x [+500%] EXP Food
[24/08/2022 19:22:19] Player: Pintudinho | Reward: 15x critical feather
[24/08/2022 19:22:38] Player: Pintudinho | Reward: 1x removedor de frags
[24/08/2022 19:22:54] Player: Pintudinho | Reward: 1x hyper key
[24/08/2022 19:23:05] Player: Pintudinho | Reward: 1x caixa da sorte
[24/08/2022 19:23:15] Player: Pintudinho | Reward: 15x critical feather
[24/08/2022 19:23:31] Player: Pintudinho | Reward: 15x critical feather
[24/08/2022 19:23:44] Player: Pintudinho | Reward: 15x critical feather
[24/08/2022 19:23:56] Player: Pintudinho | Reward: 1x caixa da sorte
[24/08/2022 19:24:08] Player: Pintudinho | Reward: 15x critical feather
[24/08/2022 19:24:28] Player: Pintudinho | Reward: 15x dodge stone
[24/08/2022 19:24:47] Player: Pintudinho | Reward: 15x dodge stone
[24/08/2022 19:25:06] Player: Pintudinho | Reward: 1x hyper crossbow
[24/08/2022 19:26:01] Player: Pintudinho | Reward: 1x refinamento excelente
[24/08/2022 19:26:11] Player: Pintudinho | Reward: 5x [+500%] EXP Food
[24/08/2022 19:26:21] Player: Pintudinho | Reward: 1x removedor de frags
[24/08/2022 19:26:36] Player: Pintudinho | Reward: 1x hyper key
[24/08/2022 19:26:48] Player: Pintudinho | Reward: 1x refinamento excelente
[24/08/2022 19:26:58] Player: Pintudinho | Reward: 5x [+300%] EXP Food
[24/08/2022 19:27:08] Player: Pintudinho | Reward: 15x critical feather
[24/08/2022 19:27:17] Player: Pintudinho | Reward: 5x [+600%] EXP Egg
[24/08/2022 19:27:28] Player: Pintudinho | Reward: 1x hyper key
[24/08/2022 19:27:38] Player: Pintudinho | Reward: 1x refinamento excelente
[24/08/2022 19:27:48] Player: Pintudinho | Reward: 15x dodge stone
[24/08/2022 19:27:58] Player: Pintudinho | Reward: 1x stamina potion
[24/08/2022 19:28:08] Player: Pintudinho | Reward: 1x stamina potion
[24/08/2022 19:28:18] Player: Pintudinho | Reward: 1x stamina potion
[24/08/2022 19:28:31] Player: Pintudinho | Reward: 1x [+1000%] EXP Potion
[24/08/2022 19:28:41] Player: Pintudinho | Reward: 5x [+500%] EXP Food
[24/08/2022 19:28:51] Player: Pintudinho | Reward: 1x stamina infinita
[24/08/2022 19:29:05] Player: Pintudinho | Reward: 1x removedor de frags
[24/08/2022 19:29:16] Player: Pintudinho | Reward: 15x critical feather
[24/08/2022 19:29:26] Player: Pintudinho | Reward: 1x [+1000%] EXP Potion
[24/08/2022 19:29:36] Player: Pintudinho | Reward: 1x caixa da sorte
[24/08/2022 19:29:39] Player: Pies Na Baby | Reward: 5x [+500%] EXP Food
[24/08/2022 19:29:47] Player: Pintudinho | Reward: 1x removedor de frags
[24/08/2022 19:29:52] Player: Pies Na Baby | Reward: 1x removedor de frags
[24/08/2022 19:29:57] Player: Pintudinho | Reward: 1x refinamento excelente
[24/08/2022 19:30:08] Player: Pintudinho | Reward: 1x caixa da sorte
[24/08/2022 19:30:18] Player: Pintudinho | Reward: 1x removedor de frags
[24/08/2022 19:30:33] Player: Pintudinho | Reward: 15x critical feather
[24/08/2022 19:30:43] Player: Pintudinho | Reward: 15x critical feather
[24/08/2022 19:30:53] Player: Pintudinho | Reward: 1x [+1000%] EXP Potion
[24/08/2022 19:31:03] Player: Pintudinho | Reward: 1x refinamento excelente
[24/08/2022 19:31:14] Player: Pintudinho | Reward: 15x critical feather
[24/08/2022 19:31:28] Player: Pintudinho | Reward: 1x stamina infinita
[24/08/2022 19:31:38] Player: Pintudinho | Reward: 15x dodge stone
[24/08/2022 19:31:50] Player: Pintudinho | Reward: 1x removedor de frags
[24/08/2022 19:32:00] Player: Pintudinho | Reward: 1x refinamento excelente
[24/08/2022 19:32:10] Player: Pintudinho | Reward: 5x [+500%] EXP Food
[24/08/2022 19:32:23] Player: Pintudinho | Reward: 1x removedor de frags
[24/08/2022 19:32:34] Player: Pintudinho | Reward: 1x refinamento excelente
[24/08/2022 19:32:39] Player: Pies Na Baby | Reward: 1x removedor de frags
[24/08/2022 19:32:46] Player: Pintudinho | Reward: 5x [+500%] EXP Food
[24/08/2022 19:32:56] Player: Pintudinho | Reward: 15x dodge stone
[24/08/2022 19:33:06] Player: Pintudinho | Reward: 1x [+1000%] EXP Potion
[24/08/2022 19:33:30] Player: Pintudinho | Reward: 5x [+300%] EXP Food
[24/08/2022 19:33:40] Player: Pintudinho | Reward: 15x critical feather
[24/08/2022 19:33:51] Player: Pintudinho | Reward: 1x [+1000%] EXP Potion
[24/08/2022 19:34:00] Player: Pintudinho | Reward: 1x removedor de frags
[24/08/2022 19:34:12] Player: Pintudinho | Reward: 15x critical feather
[24/08/2022 19:34:22] Player: Pintudinho | Reward: 15x dodge stone
[24/08/2022 19:34:32] Player: Pintudinho | Reward: 5x [+300%] EXP Food
[24/08/2022 19:34:46] Player: Pintudinho | Reward: 1x caixa da sorte
[24/08/2022 19:34:57] Player: Pintudinho | Reward: 1x stamina infinita
[24/08/2022 19:35:07] Player: Pintudinho | Reward: 15x dodge stone
[24/08/2022 19:35:17] Player: Pintudinho | Reward: 1x removedor de frags
[24/08/2022 19:35:46] Player: Pintudinho | Reward: 15x critical feather
[24/08/2022 19:36:10] Player: Pintudinho | Reward: 1x removedor de frags
[24/08/2022 19:36:21] Player: Pintudinho | Reward: 5x [+300%] EXP Food
[24/08/2022 19:36:31] Player: Pintudinho | Reward: 1x refinamento excelente
[24/08/2022 19:36:41] Player: Pintudinho | Reward: 1x stamina infinita
[24/08/2022 19:36:51] Player: Pintudinho | Reward: 1x stamina potion
[24/08/2022 19:37:01] Player: Pintudinho | Reward: 1x refinamento excelente
[24/08/2022 19:37:14] Player: Pintudinho | Reward: 15x dodge stone
[24/08/2022 19:37:24] Player: Pintudinho | Reward: 15x critical feather
[24/08/2022 19:37:34] Player: Pintudinho | Reward: 15x dodge stone
[24/08/2022 19:37:44] Player: Real Stylexx | Reward: 15x dodge stone
[24/08/2022 19:37:54] Player: Pintudinho | Reward: 1x refinamento excelente
[24/08/2022 19:38:04] Player: Pintudinho | Reward: 5x [+300%] EXP Food
[24/08/2022 19:38:14] Player: Real Stylexx | Reward: 15x critical feather
[24/08/2022 19:38:24] Player: Pintudinho | Reward: 1x stamina potion
[24/08/2022 19:38:34] Player: Pintudinho | Reward: 1x stamina potion
[24/08/2022 19:38:44] Player: Pintudinho | Reward: 15x critical feather
[24/08/2022 19:38:54] Player: Real Stylexx | Reward: 15x dodge stone
[24/08/2022 19:39:07] Player: Pintudinho | Reward: 1x stamina potion
[24/08/2022 19:39:18] Player: Pintudinho | Reward: 1x removedor de frags
[24/08/2022 19:39:27] Player: Real Stylexx | Reward: 1x refinamento excelente
[24/08/2022 19:39:37] Player: Pintudinho | Reward: 15x critical feather
[24/08/2022 19:39:48] Player: Pintudinho | Reward: 1x refinamento excelente
[24/08/2022 19:39:58] Player: Real Stylexx | Reward: 1x removedor de frags
[24/08/2022 19:41:14] Player: Pintudinho | Reward: 15x critical feather
[24/08/2022 19:41:24] Player: Pintudinho | Reward: 1x stamina potion
[24/08/2022 19:41:34] Player: Pintudinho | Reward: 1x stamina potion
[24/08/2022 19:41:37] Player: Real Stylexx | Reward: 15x critical feather
[24/08/2022 19:42:04] Player: Pintudinho | Reward: 1x stamina potion
[24/08/2022 19:42:14] Player: Pintudinho | Reward: 1x [+1000%] EXP Potion
[24/08/2022 19:42:24] Player: Pintudinho | Reward: 1x refinamento excelente
[24/08/2022 19:42:33] Player: Pintudinho | Reward: 15x dodge stone
[24/08/2022 19:42:50] Player: Pintudinho | Reward: 1x removedor de frags
[24/08/2022 19:43:04] Player: Pintudinho | Reward: 1x refinamento excelente
[24/08/2022 19:43:15] Player: Pintudinho | Reward: 15x critical feather
[24/08/2022 19:43:27] Player: Pintudinho | Reward: 5x [+500%] EXP Food
[24/08/2022 19:43:37] Player: Pintudinho | Reward: 1x stamina potion
[24/08/2022 19:44:12] Player: Pintudinho | Reward: 1x [+1000%] EXP Potion
[24/08/2022 19:44:21] Player: Pintudinho | Reward: 1x [+1000%] EXP Potion
[24/08/2022 19:44:38] Player: Pintudinho | Reward: 5x [+500%] EXP Food
[24/08/2022 19:44:49] Player: Pintudinho | Reward: 1x stamina potion
[24/08/2022 19:44:59] Player: Pintudinho | Reward: 5x [+300%] EXP Food
[24/08/2022 19:45:12] Player: Pintudinho | Reward: 1x refinamento excelente
[24/08/2022 19:45:22] Player: Pintudinho | Reward: 5x [+500%] EXP Food
[24/08/2022 19:45:32] Player: Pintudinho | Reward: 1x refinamento excelente
[24/08/2022 19:45:41] Player: Pintudinho | Reward: 1x stamina infinita
[24/08/2022 19:45:51] Player: Pintudinho | Reward: 15x critical feather
[24/08/2022 19:46:01] Player: Pintudinho | Reward: 15x dodge stone
[24/08/2022 19:46:12] Player: Pintudinho | Reward: 1x stamina infinita
[24/08/2022 19:46:27] Player: Pintudinho | Reward: 1x refinamento excelente
[24/08/2022 19:46:40] Player: Pintudinho | Reward: 5x [+500%] EXP Food
[24/08/2022 19:46:51] Player: Pintudinho | Reward: 1x stamina potion
[24/08/2022 19:47:03] Player: Pintudinho | Reward: 5x [+300%] EXP Food
[24/08/2022 19:47:13] Player: Pintudinho | Reward: 15x dodge stone
[24/08/2022 19:47:26] Player: Pintudinho | Reward: 5x [+300%] EXP Food
[24/08/2022 19:47:36] Player: Pintudinho | Reward: 1x removedor de frags
[24/08/2022 19:47:46] Player: Pintudinho | Reward: 15x dodge stone
[24/08/2022 19:47:57] Player: Pintudinho | Reward: 5x [+600%] EXP Egg
[24/08/2022 19:48:06] Player: Pintudinho | Reward: 1x hyper key
[24/08/2022 19:48:16] Player: Pintudinho | Reward: 1x caixa da sorte
[24/08/2022 19:48:26] Player: Pintudinho | Reward: 1x refinamento excelente
[24/08/2022 19:48:40] Player: Pintudinho | Reward: 5x [+500%] EXP Food
[24/08/2022 19:48:53] Player: Pintudinho | Reward: 5x [+300%] EXP Food
[24/08/2022 19:49:02] Player: Pintudinho | Reward: 1x removedor de frags
[24/08/2022 19:49:13] Player: Pintudinho | Reward: 1x stamina infinita
[24/08/2022 19:49:24] Player: Pintudinho | Reward: 1x caixa da sorte
[24/08/2022 19:49:34] Player: Pintudinho | Reward: 15x dodge stone
[24/08/2022 19:50:19] Player: Pintudinho | Reward: 15x dodge stone
[24/08/2022 19:50:34] Player: Pintudinho | Reward: 15x dodge stone
[24/08/2022 19:50:48] Player: Pintudinho | Reward: 1x removedor de frags
[24/08/2022 19:51:15] Player: Pintudinho | Reward: 15x critical feather
[24/08/2022 19:51:27] Player: Pintudinho | Reward: 1x refinamento excelente
[24/08/2022 19:51:37] Player: Pintudinho | Reward: 5x [+300%] EXP Food
[24/08/2022 19:51:48] Player: Pintudinho | Reward: 1x hyper key
[24/08/2022 19:51:59] Player: Pintudinho | Reward: 1x stamina potion
[24/08/2022 19:52:21] Player: Pintudinho | Reward: 15x dodge stone
[24/08/2022 19:52:32] Player: Pintudinho | Reward: 5x [+600%] EXP Egg
[24/08/2022 19:52:43] Player: Pintudinho | Reward: 1x stamina potion
[24/08/2022 19:53:04] Player: Pintudinho | Reward: 15x critical feather
[24/08/2022 19:53:18] Player: Pintudinho | Reward: 5x [+500%] EXP Food
[24/08/2022 19:53:28] Player: Pintudinho | Reward: 15x critical feather
[24/08/2022 19:53:38] Player: Pintudinho | Reward: 5x [+600%] EXP Egg
[24/08/2022 19:53:48] Player: Pintudinho | Reward: 1x stamina potion
[24/08/2022 19:54:11] Player: Pintudinho | Reward: 1x hyper staff
[24/08/2022 19:54:25] Player: Pintudinho | Reward: 5x [+500%] EXP Food
[24/08/2022 19:54:35] Player: Pintudinho | Reward: 15x critical feather
[24/08/2022 19:54:46] Player: Pintudinho | Reward: 15x critical feather
[24/08/2022 19:54:57] Player: Pintudinho | Reward: 15x critical feather
[24/08/2022 19:55:19] Player: Pintudinho | Reward: 1x stamina potion
[24/08/2022 19:55:29] Player: Pintudinho | Reward: 5x [+500%] EXP Food
[25/08/2022 00:30:02] Player: Real Stylexx | Reward: 5x [+500%] EXP Food
[25/08/2022 00:30:15] Player: Real Stylexx | Reward: 5x [+500%] EXP Food
[25/08/2022 04:45:36] Player: Pro Attacksz | Reward: 1x removedor de frags
[25/08/2022 04:45:47] Player: Pro Attacksz | Reward: 15x critical feather
[25/08/2022 09:20:01] Player: Lilith Milly | Reward: 15x critical feather
[25/08/2022 12:56:07] Player: Pro Attacksz | Reward: 1x refinamento excelente
[25/08/2022 12:56:17] Player: Pro Attacksz | Reward: 1x removedor de frags
[25/08/2022 12:56:27] Player: Pro Attacksz | Reward: 15x critical feather
[25/08/2022 14:03:20] Player: Rickzinhow | Reward: 5x [+300%] EXP Food
[25/08/2022 18:20:12] Player: Pies Na Baby | Reward: 15x dodge stone
[25/08/2022 18:20:24] Player: Pies Na Baby | Reward: 1x removedor de frags
[25/08/2022 18:20:36] Player: Pies Na Baby | Reward: 15x critical feather
[25/08/2022 18:20:46] Player: Pies Na Baby | Reward: 15x dodge stone
[25/08/2022 18:20:57] Player: Pies Na Baby | Reward: 5x [+500%] EXP Food
[25/08/2022 19:54:20] Player: Boomer | Reward: 1x hyper staff
[25/08/2022 19:56:30] Player: Boomer | Reward: 15x dodge stone
[25/08/2022 19:56:47] Player: Boomer | Reward: 1x refinamento excelente
[25/08/2022 19:57:00] Player: Boomer | Reward: 1x stamina infinita
[25/08/2022 19:57:01] Player: Real Stylexx | Reward: 15x dodge stone
[25/08/2022 19:57:18] Player: Real Stylexx | Reward: 5x [+500%] EXP Food
[25/08/2022 19:57:33] Player: Boomer | Reward: 15x dodge stone
[25/08/2022 19:57:33] Player: Real Stylexx | Reward: 1x removedor de frags
[25/08/2022 19:57:48] Player: Boomer | Reward: 15x critical feather
[25/08/2022 19:57:48] Player: Real Stylexx | Reward: 1x caixa da sorte
[25/08/2022 19:57:59] Player: Boomer | Reward: 5x [+300%] EXP Food
[25/08/2022 19:58:13] Player: Real Stylexx | Reward: 5x [+600%] EXP Egg
[25/08/2022 19:58:13] Player: Boomer | Reward: 1x refinamento excelente
[25/08/2022 19:58:28] Player: Boomer | Reward: 1x refinamento excelente
[25/08/2022 19:58:39] Player: Boomer | Reward: 1x refinamento excelente
[25/08/2022 19:58:51] Player: Boomer | Reward: 15x critical feather
[25/08/2022 19:59:09] Player: Boomer | Reward: 5x [+500%] EXP Food
[25/08/2022 19:59:21] Player: Boomer | Reward: 1x refinamento excelente
[25/08/2022 19:59:34] Player: Boomer | Reward: 5x [+500%] EXP Food
[25/08/2022 19:59:48] Player: Boomer | Reward: 1x stamina potion
[25/08/2022 20:12:14] Player: Morgahar | Reward: 15x dodge stone
[25/08/2022 20:12:25] Player: Morgahar | Reward: 15x dodge stone
[25/08/2022 20:12:36] Player: Morgahar | Reward: 5x [+500%] EXP Food
[25/08/2022 20:12:49] Player: Morgahar | Reward: 1x stamina potion
[25/08/2022 20:12:59] Player: Morgahar | Reward: 1x refinamento excelente
[25/08/2022 20:13:09] Player: Morgahar | Reward: 5x [+500%] EXP Food
[25/08/2022 20:13:20] Player: Morgahar | Reward: 1x caixa da sorte
[25/08/2022 20:13:30] Player: Morgahar | Reward: 1x removedor de frags
[25/08/2022 20:13:40] Player: Morgahar | Reward: 1x [+1000%] EXP Potion
[25/08/2022 20:13:51] Player: Morgahar | Reward: 15x dodge stone
[25/08/2022 20:14:02] Player: Morgahar | Reward: 1x removedor de frags
[25/08/2022 20:14:12] Player: Morgahar | Reward: 5x [+300%] EXP Food
[25/08/2022 20:14:22] Player: Morgahar | Reward: 15x critical feather
